Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000002|05/01/2023|Vente|15000,00||||B175|SUR VEYLE|1290|CROTTET|01|134||ZL|91||||||||||||0||||||P||86
|||||||000001|06/01/2023|Vente|190000,00|5||CHE|0041|DE LA COTE|1450|SERRIERES-SUR-AIN|01|404||D|1066||||||||||||0|1|Maison||100|3|S||585
|||||||000001|04/01/2023|Vente en l'état futur d'achèvement|175200,00||||B263|TIRET|1500|AMBERIEU-EN-BUGEY|01|4||AO|24||53|13,00|||||||||1|3|Dépendance||0|0|||
|||||||000001|04/01/2023|Vente en l'état futur d'achèvement|175200,00||||B263|TIRET|1500|AMBERIEU-EN-BUGEY|01|4||AO|24||4|53,00|||||||||1|2|Appartement||53|2|||
|||||||000001|02/01/2023|Vente|140000,00|6||RUE|0524|DU PETIT PORT|1130|NANTUA|01|269||AB|1043||17||24|73,56|||||||2|3|Dépendance||0|0|||
|||||||000001|02/01/2023|Vente|140000,00|6||RUE|0524|DU PETIT PORT|1130|NANTUA|01|269||AB|1043||17||24|73,56|||||||2|2|Appartement||67|3|||
|||||||000001|02/01/2023|Vente|140000,00|6||RUE|0524|DU PETIT PORT|1130|NANTUA|01|269||AB|1043||39||||||||||1|3|Dépendance||0|0|||
|||||||000001|02/01/2023|Vente|140000,00|6||RUE|0524|DU PETIT PORT|1130|NANTUA|01|269||AB|1043||17||24|73,56|||||||2|3|Dépendance||0|0|||
|||||||000001|06/01/2023|Vente|281200,00|228||RUE|0370|DE SAINT MARTIN|1700|MIRIBEL|01|249||AH|813||15|105,44|||||||||1|3|Dépendance||0|0|||
|||||||000001|06/01/2023|Vente|281200,00|228||RUE|0370|DE SAINT MARTIN|1700|MIRIBEL|01|249||AH|813||15|105,44|||||||||1|2|Appartement||106|5|||
|||||||000001|06/01/2023|Vente|281200,00|228||RUE|0370|DE SAINT MARTIN|1700|MIRIBEL|01|249||AH|813||1||||||||||1|3|Dépendance||0|0|||
|||||||000001|06/01/2023|Vente|281200,00|228||RUE|0370|DE SAINT MARTIN|1700|MIRIBEL|01|249||AH|813||34||||||||||1|3|Dépendance||0|0|||
|||||||000001|02/01/2023|Vente|525000,00||||B058|SUR GOISIN|1630|ST-JEAN-DE-GONVILLE|01|360||D|2606||||||||||||0||||||S||329
|||||||000001|03/01/2023|Vente terrain à bâtir|2160000,00|5404|||B079|L ETANG|1190|SAINT-BENIGNE|01|337||ZM|248||||||||||||0|4|Local industriel. commercial ou assimilé||2348|0|S||9109
|||||||000001|03/01/2023|Vente|112000,00|51||RUE|0120|DE LYON|1090|MONTMERLE-SUR-SAONE|01|263||AE|147||2|47,97|||||||||1|2|Appartement||49|2|||
|||||||000001|06/01/2023|Vente|420000,00|5347|||B047|LE FOURNIEUX|1480|CHALEINS|01|75||WM|214||||||||||||0|3|Dépendance||0|0|S||183
|||||||000001|06/01/2023|Vente|420000,00|5347|||B047|LE FOURNIEUX|1480|CHALEINS|01|75||WM|214||||||||||||0|1|Maison||44|1|S||183
|||||||000001|06/01/2023|Vente|420000,00|5347|||B047|LE FOURNIEUX|1480|CHALEINS|01|75||WM|214||||||||||||0|3|Dépendance||0|0|P||938
|||||||000001|06/01/2023|Vente|420000,00|5347|||B047|LE FOURNIEUX|1480|CHALEINS|01|75||WM|214||||||||||||0|1|Maison||44|1|P||938
|||||||000001|06/01/2023|Vente|110000,00||||B218|MALATRAIT|1851|MARBOZ|01|232||WS|70||||||||||||0||||||P||1775
|||||||000001|06/01/2023|Vente|110000,00|5234|||B218|MALATRAIT|1851|MARBOZ|01|232||WS|71||||||||||||0|1|Maison||108|2|S||4430
|||||||000002|04/01/2023|Vente|1040000,00|241||RUE|0490|DE LAUSANNE|1220|DIVONNE-LES-BAINS|01|143||AE|435||||||||||||0||||||S||20
|||||||000002|04/01/2023|Vente|1040000,00|241|2|RUE|0490|DE LAUSANNE|1220|DIVONNE-LES-BAINS|01|143||AE|436||3|44,30|||||||||1|3|Dépendance||0|0|||
|||||||000002|04/01/2023|Vente|1040000,00|221||RUE|0490|DE LAUSANNE|1220|DIVONNE-LES-BAINS|01|143||AE|632||||||||||||0|2|Appartement||54|1|S||216
